JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration,row_num
663,72,6,16-Jun-25,Checkout,Drop-off,,1
668,92,3,19-Apr-23,Checkout,Drop-off,,1
680,86,13,03-Oct-23,Checkout,Drop-off,,1
684,61,2,27-May-23,Checkout,Drop-off,,1
689,23,5,09-Jan-24,Checkout,Drop-off,,1
690,47,20,29-Jan-23,Checkout,Drop-off,,1
697,44,15,09-Sep-24,Checkout,Drop-off,,1
700,77,20,21-Sep-23,Checkout,Drop-off,,1
704,14,13,24-Aug-23,Checkout,Drop-off,,1
717,33,11,20-Jun-23,Checkout,Drop-off,,1
730,23,13,10-Jun-23,Checkout,Drop-off,,1
737,46,14,05-Sep-24,Checkout,Drop-off,,1
739,32,7,28-May-23,Checkout,Drop-off,,1
744,78,1,27-Jun-24,Checkout,Drop-off,,1
749,86,17,18-Jun-23,Checkout,Drop-off,,1
750,26,8,19-Feb-25,Checkout,Drop-off,,1
751,39,3,20-May-24,Checkout,Drop-off,,1
756,13,3,20-Aug-24,Checkout,Drop-off,,1
758,39,19,07-Jun-24,Checkout,Drop-off,,1
761,68,11,06-Aug-25,Checkout,Drop-off,,1
762,1,19,07-Jun-24,Checkout,Drop-off,,1
766,15,7,04-Jul-25,Checkout,Drop-off,,1
768,70,19,20-Dec-25,Checkout,Drop-off,,1
774,76,3,23-Sep-24,Checkout,Drop-off,,1
776,83,16,21-Jul-25,Checkout,Drop-off,,1
785,21,14,31-Mar-24,Checkout,Drop-off,,1
786,38,8,04-Jan-24,Checkout,Drop-off,,1
788,96,13,01-Nov-25,Checkout,Drop-off,,1
794,57,7,14-Sep-25,Checkout,Drop-off,,1
797,85,10,31-Oct-23,Checkout,Drop-off,,1
798,38,18,30-Nov-23,Checkout,Drop-off,,1
800,97,1,05-Apr-23,Checkout,Drop-off,,1
813,23,1,06-Apr-23,Checkout,Drop-off,,1
828,84,3,09-Apr-25,Checkout,Drop-off,,1
847,47,10,20-Aug-25,Checkout,Drop-off,,1
848,83,16,03-Jan-24,Checkout,Drop-off,,1
852,12,9,14-Oct-24,Checkout,Drop-off,,1
857,51,13,18-Jul-23,Checkout,Drop-off,,1
858,25,7,12-Jun-23,Checkout,Drop-off,,1
860,37,8,29-Apr-25,Checkout,Drop-off,,1
864,89,19,28-Jun-23,Checkout,Drop-off,,1
875,90,17,25-Jan-23,Checkout,Drop-off,,1
877,2,14,14-Nov-25,Checkout,Drop-off,,1
879,64,15,20-Mar-23,Checkout,Drop-off,,1
884,49,19,30-Jan-25,Checkout,Drop-off,,1
885,76,4,04-Aug-25,Checkout,Drop-off,,1
887,62,7,23-Jan-23,Checkout,Drop-off,,1
901,95,20,11-May-23,Checkout,Drop-off,,1
909,55,12,20-Nov-23,Checkout,Drop-off,,1
914,53,16,30-Dec-24,Checkout,Drop-off,,1
918,92,9,19-Jan-24,Checkout,Drop-off,,1
920,20,11,04-Dec-25,Checkout,Drop-off,,1
942,59,14,26-Feb-23,Checkout,Drop-off,,1
943,81,4,19-Mar-24,Checkout,Drop-off,,1
951,36,13,17-May-24,Checkout,Drop-off,,1
952,6,11,05-Feb-24,Checkout,Drop-off,,1
960,60,1,09-Feb-25,Checkout,Drop-off,,1
965,13,14,07-Dec-23,Checkout,Drop-off,,1
966,62,6,04-Jan-25,Checkout,Drop-off,,1
967,60,9,07-Jun-23,Checkout,Drop-off,,1
972,100,9,28-Feb-23,Checkout,Drop-off,,1
978,59,13,07-Sep-25,Checkout,Drop-off,,1
1005,61,11,04-Apr-23,Checkout,Drop-off,,1
1009,12,19,29-Mar-25,Checkout,Drop-off,,1
1010,94,3,07-May-25,Checkout,Drop-off,,1
1018,32,15,25-Sep-25,Checkout,Drop-off,,1
1021,90,19,01-Nov-23,Checkout,Drop-off,,1
1025,53,13,03-Dec-25,Checkout,Drop-off,,1
1031,87,13,18-Apr-23,Checkout,Drop-off,,1
1039,68,10,09-Sep-24,Checkout,Drop-off,,1
1040,83,9,15-May-23,Checkout,Drop-off,,1
1045,95,12,14-Jul-24,Checkout,Drop-off,,1
1048,71,16,09-Jun-23,Checkout,Drop-off,,1
1064,28,17,02-Aug-25,Checkout,Drop-off,,1
1071,79,5,28-Oct-25,Checkout,Drop-off,,1
1082,92,19,25-Jul-23,Checkout,Drop-off,,1
1088,80,9,12-Jun-23,Checkout,Drop-off,,1
1089,18,18,27-Sep-24,Checkout,Drop-off,,1
1095,26,10,12-Jan-25,Checkout,Drop-off,,1
1098,57,18,03-Aug-25,Checkout,Drop-off,,1
1099,33,19,08-Aug-25,Checkout,Drop-off,,1
1100,79,1,10-Feb-23,Checkout,Drop-off,,1
1101,49,9,01-Sep-23,Checkout,Drop-off,,1
1106,100,7,25-Mar-24,Checkout,Drop-off,,1
1129,13,13,06-Oct-24,Checkout,Drop-off,,1
1135,36,7,17-Dec-24,Checkout,Drop-off,,1
1137,30,19,17-Apr-24,Checkout,Drop-off,,1
1140,24,20,07-Dec-23,Checkout,Drop-off,,1
1143,97,11,17-Nov-24,Checkout,Drop-off,,1
1169,25,11,31-Jul-24,Checkout,Drop-off,,1
1174,26,16,18-Feb-25,Checkout,Drop-off,,1
1175,91,7,08-Jul-25,Checkout,Drop-off,,1
1176,28,4,07-Jun-24,Checkout,Drop-off,,1
1177,14,19,10-Dec-24,Checkout,Drop-off,,1
1194,34,1,07-Nov-24,Checkout,Drop-off,,1
1196,29,12,22-Aug-23,Checkout,Drop-off,,1
1201,27,7,19-May-25,Checkout,Drop-off,,1
1202,34,13,05-Jul-25,Checkout,Drop-off,,1
1205,100,20,12-Jul-24,Checkout,Drop-off,,1
1220,36,18,25-Oct-25,Checkout,Drop-off,,1
1224,36,8,08-Sep-25,Checkout,Drop-off,,1
1225,57,11,09-Dec-23,Checkout,Drop-off,,1
1226,89,8,17-Feb-25,Checkout,Drop-off,,1
1228,15,1,23-Dec-24,Checkout,Drop-off,,1
1236,59,18,10-Dec-25,Checkout,Drop-off,,1
1262,69,4,10-Oct-24,Checkout,Drop-off,,1
1277,95,13,02-Jul-25,Checkout,Drop-off,,1
1283,6,14,10-Jul-25,Checkout,Drop-off,,1
1287,94,14,08-Apr-23,Checkout,Drop-off,,1
1304,43,4,11-Jun-24,Checkout,Drop-off,,1
1312,89,18,28-Jun-24,Checkout,Drop-off,,1
1322,29,8,24-May-25,Checkout,Drop-off,,1
1323,21,5,03-Jul-23,Checkout,Drop-off,,1
1326,92,5,25-Dec-25,Checkout,Drop-off,,1
1332,40,8,17-Apr-23,Checkout,Drop-off,,1
1348,3,20,19-Jul-23,Checkout,Drop-off,,1
1375,66,6,02-Sep-23,Checkout,Drop-off,,1
1378,17,18,08-Jan-23,Checkout,Drop-off,,1
1382,82,4,19-Jan-25,Checkout,Drop-off,,1
1392,93,8,20-Aug-24,Checkout,Drop-off,,1
1410,22,7,26-Jan-24,Checkout,Drop-off,,1
1414,87,6,29-Jun-24,Checkout,Drop-off,,1
1421,38,11,23-Jul-24,Checkout,Drop-off,,1
1431,20,8,16-Sep-23,Checkout,Drop-off,,1
1434,63,16,06-Jun-24,Checkout,Drop-off,,1
1442,73,12,15-Jul-23,Checkout,Drop-off,,1
1451,1,9,25-Jan-25,Checkout,Drop-off,,1
1457,64,13,21-Dec-25,Checkout,Drop-off,,1
1459,69,6,15-Nov-24,Checkout,Drop-off,,1
1460,65,14,18-Mar-23,Checkout,Drop-off,,1
1465,11,14,16-Dec-25,Checkout,Drop-off,,1
1473,33,13,14-Feb-24,Checkout,Drop-off,,1
1476,30,5,18-Dec-25,Checkout,Drop-off,,1
1481,57,11,13-Oct-23,Checkout,Drop-off,,1
1500,35,19,30-May-25,Checkout,Drop-off,,1
1512,59,18,29-Aug-23,Checkout,Drop-off,,1
1519,68,20,22-Sep-25,Checkout,Drop-off,,1
1520,96,3,23-Jun-24,Checkout,Drop-off,,1
1522,40,19,07-Feb-24,Checkout,Drop-off,,1
1532,47,13,18-Sep-23,Checkout,Drop-off,,1
1537,57,10,12-May-24,Checkout,Drop-off,,1
1543,43,1,31-Mar-25,Checkout,Drop-off,,1
1549,99,11,27-Dec-23,Checkout,Drop-off,,1
1551,12,14,26-Jun-23,Checkout,Drop-off,,1
1561,11,11,01-Nov-24,Checkout,Drop-off,,1
1572,29,9,23-Nov-24,Checkout,Drop-off,,1
1590,55,11,02-Sep-24,Checkout,Drop-off,,1
1595,46,4,10-Oct-23,Checkout,Drop-off,,1
1602,15,5,21-Jan-25,Checkout,Drop-off,,1
1619,5,3,15-Feb-25,Checkout,Drop-off,,1
1621,98,15,13-Jul-25,Checkout,Drop-off,,1
1622,71,16,02-Aug-25,Checkout,Drop-off,,1
1624,75,20,12-Nov-25,Checkout,Drop-off,,1
1628,85,2,05-Jan-24,Checkout,Drop-off,,1
1629,60,7,15-Oct-25,Checkout,Drop-off,,1
1630,95,6,06-Feb-24,Checkout,Drop-off,,1
1638,75,20,11-Apr-24,Checkout,Drop-off,,1
1643,30,4,25-Apr-24,Checkout,Drop-off,,1
1647,75,13,13-Mar-24,Checkout,Drop-off,,1
1648,4,13,03-Jan-25,Checkout,Drop-off,,1
1649,1,10,21-Jun-23,Checkout,Drop-off,,1
1653,13,4,08-Oct-25,Checkout,Drop-off,,1
1663,93,11,07-Nov-25,Checkout,Drop-off,,1
1682,58,8,04-Jan-23,Checkout,Drop-off,,1
1691,72,8,06-Nov-25,Checkout,Drop-off,,1
1698,14,18,02-May-25,Checkout,Drop-off,,1
1722,84,5,11-Oct-23,Checkout,Drop-off,,1
1727,23,1,30-Jan-23,Checkout,Drop-off,,1
1735,66,14,23-Oct-24,Checkout,Drop-off,,1
1740,9,13,31-May-23,Checkout,Drop-off,,1
1749,25,9,01-Sep-24,Checkout,Drop-off,,1
1755,97,8,30-Jul-23,Checkout,Drop-off,,1
1760,15,9,06-Aug-23,Checkout,Drop-off,,1
1761,47,1,09-Sep-24,Checkout,Drop-off,,1
1768,46,4,09-Feb-24,Checkout,Drop-off,,1
1779,47,1,27-Apr-24,Checkout,Drop-off,,1
1782,23,2,06-Mar-24,Checkout,Drop-off,,1
1784,50,13,03-Apr-23,Checkout,Drop-off,,1
1786,2,18,18-Jan-25,Checkout,Drop-off,,1
1811,42,7,04-Jul-23,Checkout,Drop-off,,1
1816,9,20,10-Aug-25,Checkout,Drop-off,,1
1821,93,3,20-Dec-23,Checkout,Drop-off,,1
1835,56,9,15-Dec-24,Checkout,Drop-off,,1
1837,94,1,28-Jul-25,Checkout,Drop-off,,1
1838,99,5,23-Feb-25,Checkout,Drop-off,,1
1839,41,3,17-Oct-23,Checkout,Drop-off,,1
1843,37,13,21-Sep-25,Checkout,Drop-off,,1
1844,88,14,23-Mar-25,Checkout,Drop-off,,1
1848,58,17,29-Dec-24,Checkout,Drop-off,,1
1850,33,2,27-Oct-23,Checkout,Drop-off,,1
1868,38,14,13-Aug-25,Checkout,Drop-off,,1
1876,98,5,16-Oct-23,Checkout,Drop-off,,1
1885,43,18,15-Dec-24,Checkout,Drop-off,,1
1895,81,10,16-Sep-23,Checkout,Drop-off,,1
1901,34,15,15-Dec-24,Checkout,Drop-off,,1
1902,39,19,07-Jan-24,Checkout,Drop-off,,1
1906,90,8,01-Mar-25,Checkout,Drop-off,,1
1911,12,19,28-Mar-24,Checkout,Drop-off,,1
1912,33,6,18-Dec-23,Checkout,Drop-off,,1
1917,2,13,21-Jan-25,Checkout,Drop-off,,1
1929,1,6,25-Jun-25,Checkout,Drop-off,,1
1930,90,18,20-Feb-24,Checkout,Drop-off,,1
1940,54,6,18-Oct-24,Checkout,Drop-off,,1
1966,65,4,26-Mar-24,Checkout,Drop-off,,1
1970,28,3,12-Jul-23,Checkout,Drop-off,,1
1996,74,17,03-Feb-23,Checkout,Drop-off,,1
1998,40,17,30-Mar-25,Checkout,Drop-off,,1
2002,73,1,24-Nov-25,Checkout,Drop-off,,1
2005,68,16,08-Apr-24,Checkout,Drop-off,,1
2012,50,17,08-Oct-24,Checkout,Drop-off,,1
2014,59,5,22-May-23,Checkout,Drop-off,,1
2015,42,20,01-Aug-25,Checkout,Drop-off,,1
2017,62,7,19-Aug-23,Checkout,Drop-off,,1
2027,91,4,09-Jan-23,Checkout,Drop-off,,1
2031,46,2,18-Oct-23,Checkout,Drop-off,,1
2034,36,19,17-Aug-25,Checkout,Drop-off,,1
2039,23,15,25-Feb-25,Checkout,Drop-off,,1
2048,20,6,14-Jan-24,Checkout,Drop-off,,1
2054,26,1,31-Jan-23,Checkout,Drop-off,,1
2055,91,16,01-Oct-23,Checkout,Drop-off,,1
2062,34,16,27-Aug-25,Checkout,Drop-off,,1
2071,22,3,23-Aug-25,Checkout,Drop-off,,1
2072,1,20,29-May-23,Checkout,Drop-off,,1
2075,21,9,09-Jul-24,Checkout,Drop-off,,1
2077,98,10,15-Nov-24,Checkout,Drop-off,,1
2081,26,15,10-Nov-25,Checkout,Drop-off,,1
2098,82,19,13-Nov-23,Checkout,Drop-off,,1
2104,37,14,03-Jul-25,Checkout,Drop-off,,1
2106,83,11,14-Feb-23,Checkout,Drop-off,,1
2120,77,20,11-May-24,Checkout,Drop-off,,1
2125,21,14,21-Jan-25,Checkout,Drop-off,,1
2128,45,17,13-Dec-23,Checkout,Drop-off,,1
2129,89,11,02-Jan-25,Checkout,Drop-off,,1
2131,48,4,08-Feb-24,Checkout,Drop-off,,1
2136,16,12,17-Oct-23,Checkout,Drop-off,,1
2147,83,3,12-Jun-24,Checkout,Drop-off,,1
2154,19,9,14-Jan-25,Checkout,Drop-off,,1
2157,90,16,10-Mar-24,Checkout,Drop-off,,1
2170,67,10,08-Sep-24,Checkout,Drop-off,,1
2171,73,7,03-May-23,Checkout,Drop-off,,1
2200,93,16,08-May-24,Checkout,Drop-off,,1
2210,89,17,30-Nov-24,Checkout,Drop-off,,1
2213,84,14,29-Jul-23,Checkout,Drop-off,,1
2215,49,19,14-Feb-23,Checkout,Drop-off,,1
2227,35,13,30-Jul-25,Checkout,Drop-off,,1
2235,13,8,14-May-23,Checkout,Drop-off,,1
2247,38,18,25-Apr-25,Checkout,Drop-off,,1
2269,59,11,23-Dec-24,Checkout,Drop-off,,1
2271,1,7,17-Sep-25,Checkout,Drop-off,,1
2272,57,6,20-Aug-23,Checkout,Drop-off,,1
2274,27,1,12-Sep-24,Checkout,Drop-off,,1
2277,45,5,14-Jul-25,Checkout,Drop-off,,1
2293,73,5,27-Jun-24,Checkout,Drop-off,,1
2302,36,2,19-Apr-25,Checkout,Drop-off,,1
2306,37,18,21-Jan-23,Checkout,Drop-off,,1
2340,43,16,06-Aug-24,Checkout,Drop-off,,1
2342,90,10,25-Mar-24,Checkout,Drop-off,,1
2344,45,5,12-Jul-25,Checkout,Drop-off,,1
2346,100,7,03-Mar-24,Checkout,Drop-off,,1
2348,7,6,11-Apr-24,Checkout,Drop-off,,1
2359,49,1,17-Aug-25,Checkout,Drop-off,,1
2362,25,12,15-Nov-23,Checkout,Drop-off,,1
2364,37,18,16-Jun-25,Checkout,Drop-off,,1
2378,77,14,22-Aug-24,Checkout,Drop-off,,1
2391,11,15,22-Jul-24,Checkout,Drop-off,,1
2407,23,12,02-Feb-25,Checkout,Drop-off,,1
2423,97,8,15-Oct-25,Checkout,Drop-off,,1
2437,9,12,27-Apr-23,Checkout,Drop-off,,1
2438,41,5,11-Aug-23,Checkout,Drop-off,,1
2439,6,10,07-Jan-25,Checkout,Drop-off,,1
2441,43,20,19-Feb-25,Checkout,Drop-off,,1
2450,98,4,20-Jul-23,Checkout,Drop-off,,1
2462,57,8,22-Jul-25,Checkout,Drop-off,,1
2468,83,7,30-Mar-24,Checkout,Drop-off,,1
2474,36,9,06-May-25,Checkout,Drop-off,,1
2484,42,9,01-Oct-23,Checkout,Drop-off,,1
2485,4,2,07-Aug-23,Checkout,Drop-off,,1
2496,45,1,04-Mar-24,Checkout,Drop-off,,1
2503,85,8,09-Jul-23,Checkout,Drop-off,,1
2506,100,19,22-Jul-24,Checkout,Drop-off,,1
2508,96,16,30-Mar-25,Checkout,Drop-off,,1
2516,56,9,17-Jan-23,Checkout,Drop-off,,1
2518,20,9,01-Aug-24,Checkout,Drop-off,,1
2527,92,4,12-Apr-24,Checkout,Drop-off,,1
2529,15,1,05-Feb-24,Checkout,Drop-off,,1
2531,31,5,24-Aug-23,Checkout,Drop-off,,1
2540,57,14,24-Feb-25,Checkout,Drop-off,,1
2559,13,9,08-Feb-23,Checkout,Drop-off,,1
2560,2,3,25-Oct-25,Checkout,Drop-off,,1
2574,29,5,17-Oct-24,Checkout,Drop-off,,1
2577,84,20,22-Apr-24,Checkout,Drop-off,,1
2586,24,3,19-Jul-25,Checkout,Drop-off,,1
2587,89,19,05-Jun-23,Checkout,Drop-off,,1
2589,54,19,22-Feb-23,Checkout,Drop-off,,1
2599,69,11,25-Nov-25,Checkout,Drop-off,,1
2600,78,2,08-Feb-25,Checkout,Drop-off,,1
2601,44,6,21-Dec-25,Checkout,Drop-off,,1
2613,66,20,05-Apr-24,Checkout,Drop-off,,1
2619,88,11,13-Nov-25,Checkout,Drop-off,,1
2620,100,3,20-Feb-25,Checkout,Drop-off,,1
2637,57,13,06-Mar-24,Checkout,Drop-off,,1
2640,76,17,03-Apr-25,Checkout,Drop-off,,1
2642,25,17,08-Jun-24,Checkout,Drop-off,,1
2644,17,10,29-Mar-25,Checkout,Drop-off,,1
2656,41,9,30-Aug-23,Checkout,Drop-off,,1
2659,69,4,01-Dec-23,Checkout,Drop-off,,1
2663,72,2,15-Mar-23,Checkout,Drop-off,,1
2668,91,9,27-Oct-25,Checkout,Drop-off,,1
2703,53,7,28-Sep-23,Checkout,Drop-off,,1
2706,72,14,23-Feb-23,Checkout,Drop-off,,1
2724,84,3,25-Aug-25,Checkout,Drop-off,,1
2735,57,1,04-May-23,Checkout,Drop-off,,1
2749,41,13,01-Aug-25,Checkout,Drop-off,,1
2751,42,11,14-Mar-23,Checkout,Drop-off,,1
2777,35,20,24-Feb-24,Checkout,Drop-off,,1
2782,32,13,07-Oct-23,Checkout,Drop-off,,1
2785,80,18,29-Aug-24,Checkout,Drop-off,,1
2791,36,20,01-Mar-23,Checkout,Drop-off,,1
2795,69,7,10-Aug-23,Checkout,Drop-off,,1
2796,69,7,25-May-25,Checkout,Drop-off,,1
2801,18,15,14-Jun-25,Checkout,Drop-off,,1
2805,28,9,28-Nov-25,Checkout,Drop-off,,1
2808,70,17,05-Oct-23,Checkout,Drop-off,,1
2823,41,19,13-Sep-23,Checkout,Drop-off,,1
2828,33,3,09-Feb-25,Checkout,Drop-off,,1
2831,23,14,31-Jul-24,Checkout,Drop-off,,1
2874,36,12,03-Jul-25,Checkout,Drop-off,,1
2876,59,4,02-Jul-23,Checkout,Drop-off,,1
2877,99,12,09-Sep-23,Checkout,Drop-off,,1
2882,63,14,15-Mar-23,Checkout,Drop-off,,1
2888,71,14,10-Mar-24,Checkout,Drop-off,,1
2892,35,1,27-Sep-25,Checkout,Drop-off,,1
2894,28,17,22-Feb-23,Checkout,Drop-off,,1
2904,48,5,10-Mar-23,Checkout,Drop-off,,1
2905,18,1,12-Mar-23,Checkout,Drop-off,,1
2908,87,11,30-Sep-24,Checkout,Drop-off,,1
2912,64,19,08-Mar-24,Checkout,Drop-off,,1
2915,75,15,24-Jan-23,Checkout,Drop-off,,1
2917,93,2,11-Oct-23,Checkout,Drop-off,,1
2953,69,8,14-Nov-23,Checkout,Drop-off,,1
2954,54,15,17-Apr-23,Checkout,Drop-off,,1
2959,98,9,26-Jan-23,Checkout,Drop-off,,1
2960,50,17,29-Sep-25,Checkout,Drop-off,,1
2961,2,1,07-Mar-24,Checkout,Drop-off,,1
2962,9,20,26-Dec-24,Checkout,Drop-off,,1
2966,84,11,22-Jun-25,Checkout,Drop-off,,1
2989,17,9,14-Jun-25,Checkout,Drop-off,,1
2990,15,12,21-Aug-24,Checkout,Drop-off,,1
3006,66,10,02-Jul-23,Checkout,Drop-off,,1
3011,34,19,21-Dec-24,Checkout,Drop-off,,1
3012,55,5,12-Dec-23,Checkout,Drop-off,,1
3013,60,20,09-Apr-25,Checkout,Drop-off,,1
3017,88,20,29-Dec-25,Checkout,Drop-off,,1
3027,93,19,28-Feb-23,Checkout,Drop-off,,1
3037,8,14,21-Aug-24,Checkout,Drop-off,,1
3062,20,16,24-Jul-23,Checkout,Drop-off,,1
3064,73,15,05-Oct-24,Checkout,Drop-off,,1
3072,73,13,18-Jan-23,Checkout,Drop-off,,1
3078,53,10,03-Oct-23,Checkout,Drop-off,,1
3083,44,19,11-May-23,Checkout,Drop-off,,1
3090,85,3,19-Dec-23,Checkout,Drop-off,,1
3095,40,8,17-Jul-25,Checkout,Drop-off,,1
3096,24,10,19-Dec-25,Checkout,Drop-off,,1
3116,32,4,21-May-23,Checkout,Drop-off,,1
3122,93,19,04-Sep-24,Checkout,Drop-off,,1
3125,64,19,04-Dec-25,Checkout,Drop-off,,1
3131,65,20,04-Apr-23,Checkout,Drop-off,,1
3139,71,13,27-Aug-23,Checkout,Drop-off,,1
3157,74,10,16-Oct-25,Checkout,Drop-off,,1
3158,23,10,25-Apr-25,Checkout,Drop-off,,1
3163,11,14,05-Dec-24,Checkout,Drop-off,,1
3172,48,3,21-May-25,Checkout,Drop-off,,1
3173,58,5,21-Jun-24,Checkout,Drop-off,,1
3179,100,12,10-May-24,Checkout,Drop-off,,1
3190,46,5,24-Sep-24,Checkout,Drop-off,,1
3198,63,16,30-Jul-23,Checkout,Drop-off,,1
3209,27,17,23-Nov-24,Checkout,Drop-off,,1
3211,70,14,11-May-25,Checkout,Drop-off,,1
3214,89,1,07-Mar-23,Checkout,Drop-off,,1
3226,79,15,27-Apr-23,Checkout,Drop-off,,1
3228,63,4,15-Sep-23,Checkout,Drop-off,,1
3238,89,18,25-Dec-24,Checkout,Drop-off,,1
3245,20,3,25-Jul-24,Checkout,Drop-off,,1
3252,85,16,18-Apr-24,Checkout,Drop-off,,1
3257,22,14,08-Aug-25,Checkout,Drop-off,,1
3261,89,7,19-Feb-24,Checkout,Drop-off,,1
3268,99,18,17-Mar-23,Checkout,Drop-off,,1
3291,14,15,21-Nov-23,Checkout,Drop-off,,1
3296,82,14,16-Nov-23,Checkout,Drop-off,,1
3302,69,4,30-Nov-23,Checkout,Drop-off,,1
3317,20,20,20-Dec-23,Checkout,Drop-off,,1
3320,31,5,30-Sep-23,Checkout,Drop-off,,1
3322,41,3,28-Apr-25,Checkout,Drop-off,,1
3330,16,5,13-Mar-23,Checkout,Drop-off,,1
3341,84,1,15-Apr-25,Checkout,Drop-off,,1
3344,1,5,20-Jul-23,Checkout,Drop-off,,1
3345,70,5,25-May-25,Checkout,Drop-off,,1
3349,26,20,31-May-24,Checkout,Drop-off,,1
3359,12,8,23-Jan-24,Checkout,Drop-off,,1
3360,71,8,05-Mar-24,Checkout,Drop-off,,1
